entry_time,exit_time,side,entry,exit,qty,pnl,reason
2025-01-16 12:00:00,2025-01-16 13:00:00,long,212.66,212.595,76.92307692307962,-13.176730769231057,SL
2025-01-18 07:00:00,2025-01-18 08:00:00,long,236.17,236.1094,80.74620779386456,-14.425689529550032,SL
2025-01-18 16:00:00,2025-01-18 17:00:00,long,257.68,257.5834,49.41425636565303,-11.13756324649152,SL
2025-01-18 17:00:00,2025-01-18 18:00:00,short,242.61,242.75185000000002,33.03416767528986,-8.695449342933443,SL
2025-01-19 05:00:00,2025-01-19 06:00:00,long,273.55,273.44530000000003,44.14883848593128,-10.658529581694626,SL
2025-01-19 11:00:00,2025-01-19 12:00:00,long,284.24,284.1537,52.59442010021292,-12.01134799006301,SL
2025-01-19 13:00:00,2025-01-19 14:00:00,short,277.24,277.31215000000003,61.558809698866234,-12.976971054291273,SL
2025-01-19 15:00:00,2025-01-19 16:00:00,short,270.53,270.62064999999996,47.809342013255936,-10.80301445935062,SL
2025-01-19 22:00:00,2025-01-19 23:00:00,short,254.87,251.04695,32.28861366755454,119.3880054912603,TP
2025-01-20 01:00:00,2025-01-20 02:00:00,short,236.05,236.13695,55.47939802196119,-11.37430157638059,SL
2025-01-20 03:00:00,2025-01-20 04:00:00,short,232.02,232.11095,52.054121719300745,-10.775488192211267,SL
2025-01-20 04:00:00,2025-01-20 05:00:00,long,241.34,244.96009999999998,64.3633347557906,225.11848369038026,TP
2025-01-20 07:00:00,2025-01-20 08:00:00,long,257.58,261.4437,67.45455304563262,251.80637263736216,TP
2025-01-20 18:00:00,2025-01-20 19:00:00,short,243.78,243.89015,63.119421155564766,-14.649706787057669,SL
2025-01-23 21:00:00,2025-01-23 22:00:00,long,250.67,250.60709999999997,108.75814904810404,-20.468669742283744,SL
2025-02-02 20:00:00,2025-02-02 21:00:00,long,203.45,203.39239999999998,115.80535092639128,-18.447352342241523,SL
2025-02-03 01:00:00,2025-02-03 02:00:00,short,198.32,195.34519999999998,111.34500350188327,320.3537604283661,TP
2025-02-03 02:00:00,2025-02-03 03:00:00,short,184.7,184.81959999999998,67.43991558897233,-14.297923016034316,SL
2025-02-03 03:00:00,2025-02-03 04:00:00,long,187.78,190.59669999999997,85.44188742851361,232.52169342706853,TP
2025-02-03 04:00:00,2025-02-03 05:00:00,long,197.74,197.678,146.54325292608738,-23.5698702573807,SL
2025-02-03 05:00:00,2025-02-03 06:00:00,short,189.77,189.82315,167.36385085701292,-24.78015535595243,SL
2025-02-03 15:00:00,2025-02-03 16:00:00,long,199.59,202.58384999999998,172.12052081833093,497.86860236626535,TP
2025-02-03 16:00:00,2025-02-03 17:00:00,long,206.9,206.8394,183.09480983964974,-30.03115578145526,SL
2025-02-04 06:00:00,2025-02-04 07:00:00,short,203.82,203.87767,188.15127287991132,-30.03060546813005,SL
2025-02-24 23:00:00,2025-02-25 00:00:00,short,140.17,140.23444999999998,164.54085955856058,-22.141806869909182,SL
2025-02-25 16:00:00,2025-02-25 17:00:00,long,138.84,140.9226,300.3248959276859,604.2953456695647,TP
2025-02-28 15:00:00,2025-02-28 16:00:00,long,144.3,144.25215,279.070513907128,-33.48178490681322,SL
2025-03-02 16:00:00,2025-03-02 17:00:00,long,157.36,159.7204,115.80035821268271,264.08732575827963,TP
2025-03-02 17:00:00,2025-03-02 18:00:00,long,171.99,171.8768,126.85796153624416,-25.26229148758999,SL
2025-03-03 07:00:00,2025-03-03 08:00:00,short,161.75,161.79615,307.2473247334909,-39.03518115629343,SL
2025-03-03 15:00:00,2025-03-03 16:00:00,short,155.08,155.14000000000001,231.00074989555048,-31.778773163131405,SL
2025-03-03 19:00:00,2025-03-03 20:00:00,short,148.83,146.59755,330.7798818271567,714.2037870524607,TP
2025-03-03 20:00:00,2025-03-03 21:00:00,short,141.81,141.86075,336.14849552545803,-40.90267499122142,SL
2025-03-04 02:00:00,2025-03-04 03:00:00,short,136.51,136.54755,445.6950659807735,-47.165134380964076,SL
2025-03-04 15:00:00,2025-03-04 16:00:00,long,136.58,136.52800000000002,314.3830667699527,-37.80896514201923,SL
2025-03-04 17:00:00,2025-03-04 18:00:00,short,136.2,136.24185,383.5490692514296,-42.17924592847292,SL
2025-03-07 01:00:00,2025-03-07 02:00:00,short,136.4,136.45250000000001,299.2387401990721,-36.12597095896095,SL
2025-03-11 01:00:00,2025-03-11 02:00:00,short,115.62,115.6589,396.59032378539973,-38.36196389508291,SL
2025-04-02 21:00:00,2025-04-02 22:00:00,short,127.93,126.01105000000001,321.0386272332403,595.8298664751153,TP
2025-04-02 23:00:00,2025-04-03 00:00:00,short,118.59,118.6259,501.320125239761,-47.73216801844612,SL
2025-04-07 07:00:00,2025-04-07 08:00:00,short,97.13,97.1674,470.85836288452674,-40.486144216756735,SL
2025-04-07 14:00:00,2025-04-07 15:00:00,long,106.5,106.4676,533.7449342232999,-45.706606948288844,SL
2025-04-09 18:00:00,2025-04-09 19:00:00,long,119.26,119.1979,272.5071376063427,-33.16383251419768,SL
2025-05-21 18:00:00,2025-05-21 19:00:00,short,167.03,167.073,387.80525766751975,-49.071519986848585,SL
2025-05-23 12:00:00,2025-05-23 13:00:00,short,177.87,177.915,361.5184599845685,-48.42810910337831,SL
2025-06-13 01:00:00,2025-06-13 02:00:00,short,145.47,143.28795,301.62418122788574,636.549489349023,TP
2025-06-20 18:00:00,2025-06-20 19:00:00,short,138.26,138.29505,540.327709136116,-56.30080998090991,SL
2025-06-21 22:00:00,2025-06-21 23:00:00,short,132.66,132.7003,458.3180616044475,-48.87969001782449,SL
2025-06-22 14:00:00,2025-06-22 15:00:00,short,128.63,128.66485,518.6174532980458,-51.43773666542746,SL
2025-06-30 16:00:00,2025-06-30 17:00:00,long,157.77,157.72390000000001,382.86019862408125,-47.84295699745083,SL
2025-08-14 13:00:00,2025-08-14 14:00:00,short,194.44,194.5182,220.71139050814298,-38.72582193830943,SL
